"","Overall"
"n"," 3803"
"Age in years (mean (sd))","36.11 (11.57)"
"Highest level of education (%)"," "
"   Less than high school","   13 ( 0.3) "
"   High school diploma or GED","  359 ( 9.4) "
"   Some college","  824 (21.7) "
"   Associate's degree","  475 (12.5) "
"   Bachelor's degree"," 1551 (40.8) "
"   Professional or Masters degree","  510 (13.4) "
"   Doctorate","   70 ( 1.8) "
"Gender (%)"," "
"   Male"," 1837 (48.3) "
"   Female"," 1956 (51.4) "
"   Non-binary","    5 ( 0.1) "
"   Agender","    0 ( 0.0) "
"   Androgynous","    0 ( 0.0) "
"   Demigirl","    0 ( 0.0) "
"   Transgender (preferred gender not stated)","    0 ( 0.0) "
"   NA","    4 ( 0.1) "
"Annual household income (%)"," "
"   Less than $10,000","  165 ( 4.3) "
"   $10,000 - $19,999","  266 ( 7.0) "
"   $20,000 - $29,999","  426 (11.2) "
"   $30,000 - $39,999","  472 (12.4) "
"   $40,000 - $49,999","  436 (11.5) "
"   $50,000 - $59,999","  446 (11.7) "
"   $60,000 - $69,999","  309 ( 8.1) "
"   $70,000 - $79,999","  331 ( 8.7) "
"   $80,000 - $89,999","  205 ( 5.4) "
"   $90,000 - $99,999","  181 ( 4.8) "
"   $100,000 - $149,999","  348 ( 9.2) "
"   More than $150,000","  151 ( 4.0) "
"   Prefer not to say","   66 ( 1.7) "
"Ideology - General (mean (sd))"," 4.38 (2.91)"
"Ideology - Economic (mean (sd))"," 4.81 (2.93)"
"Ideology - Social (mean (sd))"," 4.00 (3.08)"
