state,age,gender,education,ideology_general,household_size,sus_1,sus_2,sus_3,re_1,re_2,re_3,sev_1,sev_2,sev_3,se_1,se_2,se_3,mrr_1,mrr_2,mrr_3,rc_1,rc_2,rc_3,proto_caring,proto_informed,proto_dedicated,proto_pushy,proto_stubborn,proto_arrogant,proto_patriotic,proto_responsible,proto_similarity,willingness_1,willingness_2,att_1,att_2,att_3,att_4,att_5,att_6,sn_1,sn_2,sn_3,sn_4,sn_5,int_1,int_2,int_3,beh_1,beh_2,beh_3,feedback
TX Texas,30,Male,4 year degree,6,2,4,2,4,2,3,2,3,2,4,3,2,3,3,3,2,2,2,2,0,0,1,0,0,1,0,1,2,1,1,3,3,3,2,3,2,3,3,4,3,3,4,4,4,11,11,NA,NA
MI Michigan,24,Male,High school graduate,5,2,2,4,3,3,2,2,2,2,3,2,4,3,4,4,3,4,3,4,1,1,1,0,0,0,0,1,2,4,2,2,4,2,2,4,2,2,2,2,5,5,2,2,2,11,11,NA,NA
NY New York,25,Male,4 year degree,8,3,3,2,1,3,2,3,2,2,1,1,3,2,2,2,3,4,3,2,1,0,0,0,0,0,0,0,2,4,4,3,5,4,5,4,2,3,1,2,3,4,2,2,3,10,10,10,GOOD
CA California,21,Male,4 year degree,4,4,2,1,1,1,2,1,1,2,1,1,1,2,2,1,1,1,2,1,1,0,0,0,0,0,0,1,5,5,4,1,4,5,1,5,1,2,2,1,1,2,1,2,1,10,11,NA,NO
NY New York,41,Male,High school graduate,0,2,5,3,5,1,1,1,2,2,3,5,1,4,4,3,1,5,2,1,1,1,1,0,0,0,0,1,5,5,2,1,5,1,1,5,1,1,1,1,5,5,1,1,1,11,11,NA,NA
IA Iowa,25,Male,Some college,3,1,1,5,1,1,1,1,1,1,1,2,2,4,2,2,3,2,1,2,0,1,0,0,0,0,0,1,4,2,4,1,5,1,1,5,1,2,2,2,4,4,2,2,2,11,11,NA,Thank you!
TX Texas,29,Female,4 year degree,9,3,1,1,1,2,2,1,1,1,2,1,2,2,2,2,1,2,2,1,0,0,1,0,0,0,0,0,5,5,4,2,4,3,2,5,2,1,1,1,2,1,1,1,1,10,10,10,good
TX Texas,27,Female,4 year degree,10,4,1,2,2,1,2,1,1,2,1,1,1,1,2,1,2,1,2,1,0,0,0,0,0,1,1,1,5,5,2,3,5,5,2,5,1,1,1,2,2,1,1,1,1,10,10,7,good
AK Alaska,32,Female,4 year degree,2,3,1,5,1,2,2,2,2,2,2,2,5,1,1,2,2,4,3,4,1,1,1,0,0,0,0,1,4,3,2,1,5,1,1,5,1,1,1,1,2,1,2,2,2,11,10,10,none
TX Texas,31,Male,4 year degree,8,3,2,2,2,1,2,2,2,2,1,2,4,1,2,2,3,4,2,3,0,0,0,0,1,0,0,0,2,5,4,1,2,1,2,5,1,1,1,1,2,2,2,2,2,10,10,5,NA
TX Texas,29,Female,4 year degree,7,4,1,1,2,2,1,2,2,1,2,3,1,2,2,1,2,1,2,1,1,0,1,0,0,1,1,1,4,3,4,2,2,2,2,3,3,2,1,3,2,2,1,2,2,10,10,10,good survey
CA California,39,Male,Some college,5,2,1,5,1,1,1,1,1,1,1,2,4,2,5,5,3,4,3,4,1,1,0,0,0,0,0,1,3,3,3,2,4,2,2,4,2,1,1,1,3,3,2,2,2,12,11,NA,"Thank you very much for this HIT, and best of luck with your research"
FL Florida,24,Male,4 year degree,4,4,2,3,3,3,3,3,1,2,3,3,3,3,3,5,3,5,3,3,0,0,1,0,0,0,0,0,3,1,1,2,3,2,3,4,1,3,2,2,3,3,3,3,3,12,11,NA,NA
